category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
II,255,0.08531250272382293,0.17591624020578264,0.0003933695743434,3.56489994195358e-14,0.6931446216846453
III,160,0.060586319537024216,0.16515692069418356,1.2311065862410148e-05,3.56489994195358e-14,0.6927873416784707
I,136,0.058164594025489326,0.16234037751665573,2.2814443223316788e-05,3.56489994195358e-14,0.6931377930801117
IV,119,0.010823234336072267,0.06639150618235588,2.541939659691168e-06,3.56489994195358e-14,0.6325426757933889
VI,109,0.006698905638383099,0.063469334954949,1.10797378831188e-07,3.56489994195358e-14,0.6625086357340428
V,114,0.006570657469518966,0.057067633025329544,2.1240787181261852e-07,3.56489994195358e-14,0.6048560373626606
