category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
Other,38,0.5495114277730482,0.16634779384141954,0.6184690971802159,0.0273032739913569,0.6929788747351675
Melanoma,684,0.419015630934509,0.2216344102270259,0.4561489511729587,0.0005552798746729,0.6931422136731953
Malignant_Epidermal,251,0.31676108491987826,0.18410198355740742,0.2773455990773363,0.0376252031829129,0.6931415396030598
Malignant_NonEpidermal,835,0.25651049152289856,0.19100203678184347,0.196799047954466,0.0012095596344091,0.6931445432560748
Benign,4112,0.24938070180040733,0.25943472351439345,0.11794775819079614,2.4695109899765275e-06,0.6931471774610684
