category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
II,255,0.30133889407635667,0.2336883173212375,0.2471918582068317,0.000328979085148,0.693147119672931
I,136,0.21404480272938808,0.2068004190022989,0.16201500388948545,0.000365417410486,0.6900460227612393
III,160,0.19860511629610988,0.2060105911732798,0.148311980946006,2.747043930040953e-05,0.6930787759946635
IV,119,0.10894321442186379,0.17334178095615693,0.0237204360591186,2.769484557411338e-07,0.6831227274748439
VI,109,0.07752017608562914,0.12919426991843147,0.0194936557576867,7.447397077008525e-12,0.6820615806292724
V,114,0.053394416362004066,0.11410347885673598,0.01027173453140365,3.073290992173369e-08,0.6548967995492547
