skin_type,n_benign,n_malignant,benign_accuracy,malignant_accuracy,sensitivity,entropy_benign,entropy_malignant,conf_when_wrong
I,97,39,97.9381443298969,87.17948717948718,87.17948717948718,0.0737709781486959,0.19163775492117469,0.7698780498350971
II,124,131,95.16129032258065,90.83969465648855,90.83969465648855,0.16170588898671776,0.21756834966730923,0.782471076557623
III,114,46,97.36842105263158,97.82608695652173,97.82608695652173,0.07961242291560895,0.17979207829859195,0.7091901110485197
IV,113,6,99.11504424778761,83.33333333333334,83.33333333333334,0.04981494397986539,0.1604708311819527,0.7785346170760022
V,111,3,100.0,100.0,100.0,0.004922370162822901,0.06855717924507486,
VI,109,0,100.0,,,0.009146854929561276,,
