model,isic_id,head1_entropy_original,head1_entropy_manual,head1_entropy_diff_manual,head2_entropy_original,head2_entropy_manual,head2_entropy_diff_manual
ensemble,ISIC_1049431,0.46946907417434336,0.2071068991103192,-0.26236217506402415,0.6042875104906682,0.3432856243943225,-0.2610018860963457
ensemble,ISIC_1151359,0.5332546176571692,0.1417322238657059,-0.3915223937914633,0.6377070058727236,0.23769222787241553,-0.40001477800030805
ensemble,ISIC_1727295,0.6676793908551923,0.5342372022990652,-0.1334421885561271,0.3866526293656878,0.9796698615490679,0.5930172321833801
ensemble,ISIC_2392633,0.6840634043586807,0.5150152242136907,-0.16904818014499,0.605970885271174,0.626287187201322,0.020316301930147995
ensemble,ISIC_3097354,0.5355598274890611,0.6545769585375221,0.11901713104846101,0.4519850455736894,1.3372485031487944,0.885263457575105
ensemble,ISIC_4814164,0.39711352734536887,0.09313123662419719,-0.30398229072117167,0.6145078920197374,0.15453078632126943,-0.459977105698468
ensemble,ISIC_6586433,0.6118002746888367,0.39126697051257453,-0.22053330417626216,0.48320993223533154,0.5603283018155177,0.0771183695801862
ensemble,ISIC_6945634,0.4505947967793629,0.31776557429585733,-0.1328292224835056,0.6759333990130196,0.4548148079587964,-0.2211185910542232
ensemble,ISIC_6965881,0.5406925499498553,0.6077852928774171,0.06709274292756184,0.32433687767118785,0.6875489290454548,0.363212051374267
ensemble,ISIC_7418664,0.6819970596372213,0.29883764450641853,-0.3831594151308028,0.6608567257316647,0.559763130944587,-0.10109359478707769
ensemble,ISIC_7576704,0.2764091625413767,0.6479167450026766,0.3715075824612999,0.17120890473203457,0.6866072109630971,0.5153983062310625
ensemble,ISIC_8006211,0.610800450362959,0.6454611051907827,0.034660654827823656,0.35887303590192815,0.5339272822136836,0.17505424631175542
ensemble,ISIC_8184620,0.06747731683013684,0.2307237735217677,0.16324645669163085,0.1350655472797268,0.32608763029408777,0.19102208301436097
ensemble,ISIC_8546532,0.5755735266738086,0.35163914559786313,-0.22393438107594543,0.7066865764461047,0.5777081121092991,-0.1289784643368056
ensemble,ISIC_8778158,0.6872353280504283,0.07050190108225943,-0.6167334269681689,0.6038832515255796,0.07990304653568697,-0.5239802049898927
ensemble,ISIC_9543045,0.2681134467174313,0.5270660622311749,0.2589526155137436,0.18483882613299327,0.6665142896182596,0.48167546348526635
dropout,ISIC_1049431,1.746523187325957e-05,0.00011689117889942559,9.942594702616603e-05,5.223709245465584e-05,0.00021995120932561638,0.00016771411687096054
dropout,ISIC_1151359,0.015948053427955283,0.002597642636983964,-0.013350410790971318,0.049184718271762136,0.006105578181746784,-0.04307914009001535
dropout,ISIC_1727295,0.01403874652172954,0.0006163279632686744,-0.013422418558460865,0.008179639132851312,0.0005022707151336312,-0.007677368417717681
dropout,ISIC_2392633,0.46912476245945145,0.0010973212325335996,-0.46802744122691786,0.4992011276937885,0.001337997164335162,-0.49786313052945336
dropout,ISIC_3097354,0.5593801009728614,0.01714964265448567,-0.5422304583183757,0.5508675195613405,0.0016004297217382425,-0.5492670898396023
dropout,ISIC_4814164,0.00014676728944613672,0.0008102012139283064,0.0006634339244821696,0.0025261049950641755,0.00046022395404769827,-0.0020658810410164774
dropout,ISIC_6586433,0.04300243828834217,0.06865320808414876,0.025650769795806598,0.1177697749519824,0.1354235703242403,0.01765379537225789
dropout,ISIC_6945634,0.00642277062182566,0.02935290608126053,0.02293013545943487,0.020786917119546333,0.021648688928541243,0.00086177180899491
dropout,ISIC_6965881,0.008972437347475336,0.002405038341193598,-0.006567399006281739,0.008778505920678638,0.003013180952492261,-0.005765324968186377
dropout,ISIC_7418664,1.9708569024013843e-05,0.00033024057481119396,0.0003105320057871801,7.404365567085527e-05,0.0011169706937365204,0.0010429270380656651
dropout,ISIC_7576704,0.6909026388610439,0.6043435139707778,-0.08655912489026607,0.6920191737310905,0.5164060251231729,-0.17561314860791755
dropout,ISIC_8006211,0.562032164522613,0.3499668945650198,-0.21206526995759317,0.5522281010761291,0.29031751748103723,-0.26191058359509184
dropout,ISIC_8184620,0.32420505649355236,0.030815722707052986,-0.2933893337864994,0.31476366186678184,0.10210642649718195,-0.2126572353695999
dropout,ISIC_8546532,0.14238644974058004,0.4544715177084345,0.3120850679678545,0.183431872193969,0.48597171930338756,0.30253984710941856
dropout,ISIC_8778158,0.06306921236658929,4.6806714565149695e-06,-0.06306453169513278,0.05932039986938346,3.074550357910338e-06,-0.059317325319025546
dropout,ISIC_9543045,0.6816507607870671,0.46310189759013237,-0.21854886319693473,0.6843733043222844,0.592875931977118,-0.09149737234516642
dropconnect,ISIC_1049431,5.543627392119722e-07,1.295935263632193e-06,7.415725244202209e-07,3.0617017667569745e-07,1.2890450122839763e-06,9.82874835608279e-07
dropconnect,ISIC_1151359,0.5284312936493156,0.0007017067712204339,-0.5277295868780952,0.6606128390627654,0.0021437272102641284,-0.6584691118525012
dropconnect,ISIC_1727295,0.018984467784259412,0.00017022816129329163,-0.01881423962296612,0.053048111034459416,0.0001432513737592513,-0.05290485966070017
dropconnect,ISIC_2392633,0.5312095362874876,0.0003178735130360023,-0.5308916627744515,0.31683681327924956,0.0002882470536495442,-0.3165485662256
dropconnect,ISIC_3097354,0.22038671283935118,0.21689312694537163,-0.0034935858939795505,0.5261976771822173,0.22199160845247534,-0.304206068729742
dropconnect,ISIC_4814164,7.346995904894513e-05,0.0023920336099289346,0.0023185636508799897,0.00012894921389138982,0.0011346827351634307,0.001005733521272041
dropconnect,ISIC_6586433,0.17623779276069443,0.6512797079777823,0.47504191521708794,0.3506783505027556,0.7340182506117023,0.38333990010894675
dropconnect,ISIC_6945634,0.19437330841724548,0.0036485568697687608,-0.19072475154747673,0.31471380562084644,0.005655479941194631,-0.3090583256796518
dropconnect,ISIC_6965881,0.13474666835312107,0.5370266333418674,0.4022799649887463,0.05267576371387287,0.4609083542343417,0.4082325905204688
dropconnect,ISIC_7418664,0.0004321868152992484,4.842372022646074e-05,-0.00038376309507278766,0.0007924865089871178,2.9329893839096946e-05,-0.0007631566151480208
dropconnect,ISIC_7576704,0.5531796671093241,0.0012921191236191008,-0.5518875479857049,0.34046276484351934,0.0037092127839319596,-0.3367535520595874
dropconnect,ISIC_8006211,0.6902407815645772,0.004611347852636267,-0.685629433711941,0.540327668905913,0.0022560509108496807,-0.5380716179950633
dropconnect,ISIC_8184620,0.42500105817835687,0.566827712861189,0.14182665468283218,0.13458841616211437,0.6831268480799413,0.5485384319178269
dropconnect,ISIC_8546532,0.39500975052731196,0.004615572914122567,-0.3903941776131894,0.5801361565448329,0.006476028251003758,-0.5736601282938291
dropconnect,ISIC_8778158,0.6405753749369838,3.8244589172210335e-08,-0.6405753366923946,0.6819950002114203,2.0360701396569437e-08,-0.681994979850719
dropconnect,ISIC_9543045,0.015310249508558953,1.0071646326961178e-05,-0.015300177862231992,0.029376355081338467,8.793760639195691e-06,-0.029367561320699273
flipout,ISIC_1049431,0.6046723376171865,0.5209072729068087,-0.08376506471037781,0.7809868604178067,0.7429460705553506,-0.03804078986245618
flipout,ISIC_1151359,0.47627191541891045,0.28370208029751975,-0.1925698351213907,0.7879573037439374,0.4505827551004284,-0.33737454864350896
flipout,ISIC_1727295,0.4647792733142274,0.23247746460193705,-0.23230180871229036,0.9440247065448584,0.7707830035872184,-0.17324170295763996
flipout,ISIC_2392633,0.659117836696682,0.2605561216559648,-0.3985617150407172,0.7204803785067229,0.44844641999494206,-0.2720339585117808
flipout,ISIC_3097354,0.6062768241668682,0.48959817538380146,-0.11667864878306677,0.6410002039185563,1.1678783636641914,0.5268781597456351
flipout,ISIC_4814164,0.44051035474640116,0.4543756995168142,0.013865344770413068,0.925356070109719,0.7476523558277774,-0.17770371428194154
flipout,ISIC_6586433,0.6626915519614694,0.5153217389784293,-0.1473698129830402,0.9071113923255624,0.7340901092478588,-0.1730212830777036
flipout,ISIC_6945634,0.5632952207332454,0.43746085195483375,-0.1258343687784117,0.8561415463787436,0.6975545325323367,-0.15858701384640694
flipout,ISIC_6965881,0.6608881699934853,0.6001879387276785,-0.060700231265806814,0.8836649064801505,0.8346922863654372,-0.04897262011471326
flipout,ISIC_7418664,0.677786980396891,0.5821137759482494,-0.09567320444864158,0.84528265033506,0.8724380690307536,0.0271554186956936
flipout,ISIC_7576704,0.5515469438444409,0.6929952447267222,0.14144830088228133,0.45921212758949553,0.7402659859540976,0.2810538583646021
flipout,ISIC_8006211,0.691159079723846,0.588900800151627,-0.102258279572219,0.6671347262873173,0.4871997741151142,-0.17993495217220307
flipout,ISIC_8184620,0.46828432401239,0.10063940402045453,-0.3676449199919355,0.9303471246511583,0.21578534144245717,-0.7145617832087011
flipout,ISIC_8546532,0.5773085789500368,0.4435977141552484,-0.13371086479478844,1.0356652293143205,0.9155038170681306,-0.12016141224618992
flipout,ISIC_8778158,0.6485727599528831,0.4075742225360412,-0.2409985374168419,0.7318997410861086,0.6507553227530818,-0.08114441833302677
flipout,ISIC_9543045,0.6914544445786761,0.6685013174654776,-0.022953127113198524,0.7614057579179544,0.8142366934849914,0.052830935567036996
duq,ISIC_1049431,0.01417417414306629,0.006333343854914393,-0.007840830288151896,0.332758030738272,0.15838009198843223,-0.17437793874983976
duq,ISIC_1151359,0.0033153684883110313,1.8263080783334667e-05,-0.0032971054075276967,0.5471767912934968,0.06997357574020122,-0.4772032155532956
duq,ISIC_1727295,0.29263217625157817,0.33871709163414443,0.04608491538256626,0.07531082091617529,0.086267613166309,0.010956792250133712
duq,ISIC_2392633,0.6081108199220471,0.014953470229581895,-0.5931573496924651,0.8013584638959818,0.5144874032743345,-0.28687106062164724
duq,ISIC_3097354,0.640159254925259,0.6794300609729221,0.03927080604766309,0.6343734110876552,1.0212026778740297,0.3868292667863745
duq,ISIC_4814164,0.1522763748097349,0.015375704306735542,-0.13690067050299937,0.6038448750286329,0.0644182452389908,-0.5394266297896422
duq,ISIC_6586433,0.57121699052341,0.2577309128687941,-0.3134860776546159,0.1408272071621685,0.16272235378246863,0.02189514662030012
duq,ISIC_6945634,0.20114772801332642,0.2721798887466295,0.0710321607333031,0.6727912848383479,0.5836794120995737,-0.08911187273877419
duq,ISIC_6965881,0.6664798300653048,0.17282416722910726,-0.4936556628361975,0.41265467444304077,0.32456071739762044,-0.08809395704542033
duq,ISIC_7418664,0.6137921982447507,0.12802549192120888,-0.48576670632354185,0.7181203545830773,0.5649434642643664,-0.15317689031871096
duq,ISIC_7576704,0.6763625370576594,0.6202022961281709,-0.05616024092948846,0.30763345975869044,0.6646256658840868,0.35699220612539634
duq,ISIC_8006211,0.5422666720028277,0.6403726718696168,0.09810599986678903,0.6283321666197894,0.7759051578364612,0.14757299121667178
duq,ISIC_8184620,0.00019613630770424882,0.002182415048632243,0.001986278740927994,0.012200326388571388,0.004165891738109891,-0.008034434650461497
duq,ISIC_8546532,0.47618169010145817,0.23055967919980452,-0.24562201090165364,0.8794253727653752,0.7993808832739925,-0.08004448949138276
duq,ISIC_8778158,0.6887682148083936,0.0003523774626937015,-0.6884158373456999,0.5122946391995774,0.1893256373365824,-0.32296900186299504
duq,ISIC_9543045,0.38584847962512486,0.36959089970255626,-0.0162575799225686,0.12076883642489437,0.5841874650232423,0.46341862859834787
