run_type,head,model,n_predictors,skintype_partial_eta_sq,skintype_F,skintype_p,model_r_squared
dropconnect,head1,skin_type only,1,0.030630310036875295,5.150502009404275,0.00011658722113096398,0.030630310036875552
dropconnect,head1,+ diagnosis_1,2,0.014238792378969368,2.351558756192587,0.03921222381539254,0.037567741723781745
dropconnect,head1,+ diagnosis_confirm_type,2,0.005531422063370947,0.9044119115057946,0.4775000503340665,0.076656562258684
dropconnect,head1,+ attribution,2,0.009839044618367106,1.6137384910385226,0.15384491069674322,0.11677431622681
dropconnect,head1,+ diagnosis_2,2,0.010547963478056718,1.7291183533815055,0.12540916544402916,0.10008546638125626
dropconnect,head1,+ age_approx,2,0.03473887412221246,5.765452979697689,3.076289607991545e-05,0.055735042698323856
dropconnect,head1,+ diagnosis_1 + confirm_type,3,0.0059272877970882884,0.9683311154512934,0.4361979670267859,0.08394590039909178
dropconnect,head1,+ diagnosis_1 + confirm_type + attribution,4,0.007973426124597147,1.30046954480259,0.26155574589107095,0.1598849637992954
dropconnect,head1,full model (all predictors),9,0.01075366353665982,1.7023299938228633,0.13160062052985846,0.21895235055436923
dropconnect,head2,skin_type only,1,0.0507000233135822,8.705471403212496,4.7041236387435424e-08,0.05070002331358203
dropconnect,head2,+ diagnosis_1,2,0.015866481879645473,2.624708134054619,0.022980833312076156,0.07291237269736761
dropconnect,head2,+ diagnosis_confirm_type,2,0.004048053738398426,0.6608888514493595,0.653256140108841,0.10948022346209907
dropconnect,head2,+ attribution,2,0.012239393283246181,2.012306884565967,0.0747226524704858,0.09959038603296388
dropconnect,head2,+ diagnosis_2,2,0.013097834253282422,2.152663951522466,0.05739304959585472,0.11453505427096333
dropconnect,head2,+ age_approx,2,0.047024781374607943,7.905105850578795,2.7888031467700865e-07,0.07412066861173305
dropconnect,head2,+ diagnosis_1 + confirm_type,3,0.004163337325706994,0.6789526907747072,0.6394933083221446,0.10965958369458106
dropconnect,head2,+ diagnosis_1 + confirm_type + attribution,4,0.0036279263538888896,0.5891358254463792,0.7083454965927367,0.14042530052341318
dropconnect,head2,full model (all predictors),9,0.006881746610633422,1.0851492413388086,0.3670906937430407,0.19672283001440116
dropout,head1,skin_type only,1,0.06186100637754596,10.748241047528557,5.052498748718702e-10,0.06186100637754499
dropout,head1,+ diagnosis_1,2,0.006207463025873454,1.0168872707468406,0.40644120088619806,0.14773910405008317
dropout,head1,+ diagnosis_confirm_type,2,0.002530380844929371,0.412483666153196,0.8402761281848753,0.15643847748027495
dropout,head1,+ attribution,2,0.0075951082884375114,1.2428854355151109,0.2870393630505802,0.1612846715305707
dropout,head1,+ diagnosis_2,2,0.0076539702475407565,1.2510494695693966,0.2833091778822047,0.18766482395207196
dropout,head1,+ age_approx,2,0.05558529138395602,9.428870175856215,9.542871822113165e-09,0.07333467007160976
dropout,head1,+ diagnosis_1 + confirm_type,3,0.0019692647171734396,0.3204396205076167,0.9008168411350513,0.17131581340625146
dropout,head1,+ diagnosis_1 + confirm_type + attribution,4,0.004273276740581318,0.6943834693546947,0.6277945341991734,0.20786246921939333
dropout,head1,full model (all predictors),9,0.0028644112403274622,0.449855371016542,0.8135306492823946,0.2386263079551919
dropout,head2,skin_type only,1,0.1038305453601065,18.885244086452442,8.525277050285417e-18,0.10383054536010639
dropout,head2,+ diagnosis_1,2,0.015508212216919151,2.5645078813706963,0.02587901192205324,0.2215214202053497
dropout,head2,+ diagnosis_confirm_type,2,0.004495661865685006,0.7342957648284554,0.5978399180281982,0.24932634218893535
dropout,head2,+ attribution,2,0.01910257704856612,3.1626737313191375,0.00778646885199067,0.19885747076334526
dropout,head2,+ diagnosis_2,2,0.013907744168317136,2.287652185442262,0.04435684585326409,0.2520656354785632
dropout,head2,+ age_approx,2,0.08996766087666692,15.837700104511043,6.791903517263674e-15,0.12562615774572417
dropout,head2,+ diagnosis_1 + confirm_type,3,0.0036576503698619125,0.596183049216045,0.7029232608422453,0.2631868953779668
dropout,head2,+ diagnosis_1 + confirm_type + attribution,4,0.004344955049845055,0.7060816199652006,0.6189661555151209,0.276233327461088
dropout,head2,full model (all predictors),9,0.0050840612447131325,0.8002324215633095,0.5496160431838486,0.3041515606761752
duq,head1,skin_type only,1,0.1139404653045349,20.96055075015067,9.594918843407905e-20,0.11394046530453539
duq,head1,+ diagnosis_1,2,0.047237473124979806,8.07153976759572,1.9174780876984847e-07,0.14532428452736657
duq,head1,+ diagnosis_confirm_type,2,0.006859018372776984,1.1229789204612226,0.34647272905302484,0.23058549671689454
duq,head1,+ attribution,2,0.030184068093271378,5.054456724287665,0.00014355874831565427,0.2408333067380668
duq,head1,+ diagnosis_2,2,0.04182511905385784,7.080162969662597,1.716086358213071e-06,0.200688681786919
duq,head1,+ age_approx,2,0.09602777448600834,17.01783421931079,5.142650578858055e-16,0.13731123452907512
duq,head1,+ diagnosis_1 + confirm_type,3,0.007303289461104795,1.19478003290608,0.30983458679325204,0.2330652120890212
duq,head1,+ diagnosis_1 + confirm_type + attribution,4,0.005595059928356273,0.9103742951466254,0.47355073447531504,0.3189832469703815
duq,head1,full model (all predictors),9,0.002401775205714127,0.3770235229642588,0.8646224432791213,0.36777069468732704
duq,head2,skin_type only,1,0.1489091292598049,28.518914846588167,1.0646496155474874e-26,0.14890912925980437
duq,head2,+ diagnosis_1,2,0.10027537163778517,18.144252127840286,4.27957356938215e-17,0.1538072140688943
duq,head2,+ diagnosis_confirm_type,2,0.04964504597465139,8.49396790250541,7.52645978730428e-08,0.18725298888920106
duq,head2,+ attribution,2,0.08995268782891049,16.05226047925373,4.151820317159391e-15,0.16890380216129375
duq,head2,+ diagnosis_2,2,0.09631264958652383,17.28685452528074,2.793887465699847e-16,0.16029408910072251
duq,head2,+ age_approx,2,0.13593996613383952,25.203784136617475,1.1979222980247715e-23,0.16638336304479162
duq,head2,+ diagnosis_1 + confirm_type,3,0.05158899273481429,8.833778136224488,3.5455471207048055e-08,0.19469808146998513
duq,head2,+ diagnosis_1 + confirm_type + attribution,4,0.05002728308674698,8.52068091990773,7.109648528585726e-08,0.20626111282637205
duq,head2,full model (all predictors),9,0.043713251033055185,7.158412598701673,1.4604632007584525e-06,0.23974049591606394
ensemble,head1,skin_type only,1,0.1502149588010948,28.81321404532391,5.768469782131822e-27,0.15021495880109537
ensemble,head1,+ diagnosis_1,2,0.07586874363265064,13.36545147487765,1.5337174762477737e-12,0.17222703897021496
ensemble,head1,+ diagnosis_confirm_type,2,0.003324029968993255,0.5422898607071751,0.7442936263182436,0.36985060832382977
ensemble,head1,+ attribution,2,0.03772559751898093,6.366829483654846,8.234325311135944e-06,0.32596638649023935
ensemble,head1,+ diagnosis_2,2,0.06825300745590873,11.881592211122188,4.1073682235250734e-11,0.23101093992038368
ensemble,head1,+ age_approx,2,0.13609827244174733,25.237758589500856,1.1150726019337483e-23,0.16663366707848382
ensemble,head1,+ diagnosis_1 + confirm_type,3,0.0057911277793722925,0.9459573110320785,0.4503846003496015,0.4058079432724876
ensemble,head1,+ diagnosis_1 + confirm_type + attribution,4,0.001196653396315672,0.1938504913727544,0.9649124769679301,0.5043908304984966
ensemble,head1,full model (all predictors),9,0.0023133390137403944,0.3631088834981778,0.8738538604715537,0.5401605338982469
ensemble,head2,skin_type only,1,0.17330001400481262,34.16947231319888,9.519508032717388e-32,0.17330001400481232
ensemble,head2,+ diagnosis_1,2,0.06786625145245585,11.853047648661835,4.3612732653546147e-11,0.2368479302008858
ensemble,head2,+ diagnosis_confirm_type,2,0.0011480549858932524,0.18688829874942722,0.9675890539365999,0.4585432575469912
ensemble,head2,+ attribution,2,0.03953505090994313,6.6847751954483385,4.096374700008405e-06,0.3104179536485623
ensemble,head2,+ diagnosis_2,2,0.061996695492153135,10.720499555279675,5.392519031289893e-10,0.25799103683030344
ensemble,head2,+ age_approx,2,0.15412363651997646,29.18937995727946,2.8799466789892327e-27,0.19786209815361366
ensemble,head2,+ diagnosis_1 + confirm_type,3,0.0013744439967660275,0.22351691655894296,0.9524191598951472,0.47367648566709986
ensemble,head2,+ diagnosis_1 + confirm_type + attribution,4,0.0023922365248565227,0.38799203844751307,0.8572161544188848,0.4915468348427674
ensemble,head2,full model (all predictors),9,0.0032825860251354567,0.5157459519907375,0.7644896823272366,0.5221845947654511
flipout,head1,skin_type only,1,0.1902947244503583,38.30781522863715,2.3051425499373122e-35,0.19029472445035833
flipout,head1,+ diagnosis_1,2,0.12725150622136414,23.73713086933454,2.5264921487653356e-22,0.19636153138641121
flipout,head1,+ diagnosis_confirm_type,2,0.024387518002667273,4.064534331413505,0.001191825247104176,0.35418204321285307
flipout,head1,+ attribution,2,0.0879552795042823,15.661444083281122,9.785588335239828e-15,0.27064342926705487
flipout,head1,+ diagnosis_2,2,0.1229550868175618,22.739217549808675,2.1463884956239254e-21,0.2468445738726739
flipout,head1,+ age_approx,2,0.16127800241999718,30.804886556250203,1.0258707976948802e-28,0.23066893895468665
flipout,head1,+ diagnosis_1 + confirm_type,3,0.030820778681819958,5.164467363548987,0.00011318274177929031,0.40776209083399495
flipout,head1,+ diagnosis_1 + confirm_type + attribution,4,0.028950101237521952,4.823775159443999,0.00023611803992871144,0.44258512763848223
flipout,head1,full model (all predictors),9,0.02448184783746741,3.9300728160193494,0.0015877129312175716,0.49543443940956566
flipout,head2,skin_type only,1,0.19151712675471474,38.61218671919535,1.2572943858019e-35,0.19151712675471433
flipout,head2,+ diagnosis_1,2,0.11090897868977631,20.30836134649868,3.926915289953717e-19,0.21963790206118616
flipout,head2,+ diagnosis_confirm_type,2,0.04321394924317529,7.343949194683826,9.583209872033436e-07,0.3308260709724149
flipout,head2,+ attribution,2,0.08357528855645753,14.810411255922208,6.353289676103871e-14,0.27050624029909
flipout,head2,+ diagnosis_2,2,0.10844227413697939,19.728769494977705,1.3863386144229236e-18,0.2207824100743775
flipout,head2,+ age_approx,2,0.1491600088289579,28.084520782234158,2.8581133652608474e-26,0.22380508669043164
flipout,head2,+ diagnosis_1 + confirm_type,3,0.04433141509687277,7.533387541939467,6.309804246625954e-07,0.33678929346096953
flipout,head2,+ diagnosis_1 + confirm_type + attribution,4,0.04497271752053249,7.61924379367518,5.226424093994276e-07,0.3413264317381267
flipout,head2,full model (all predictors),9,0.029799616312449265,4.809954719655545,0.00024431417823580104,0.37183932506904116
