category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
Other,38,0.29086168055481787,0.3452419743093173,0.1232938264557858,1.870670033537739e-09,1.2949981622481697
Malignant_Epidermal,251,0.26361129412131895,0.32921179434837855,0.0620727894389474,1.9914371478868437e-13,1.3293292827284466
Melanoma,684,0.16146666077937935,0.26107248699577246,0.0061986370674598,4.252671705767475e-13,1.3444771550844907
Malignant_NonEpidermal,835,0.16011649568124442,0.2631504545553345,0.0086378043346117,9.52409355505742e-10,1.1294681941322584
Benign,4112,0.05965404827567177,0.16913363768115924,7.5278586847474515e-06,1.425959976781428e-13,1.270015420585863
