category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
II,255,0.19040385898341372,0.23158543908895046,0.0595447207174622,6.759671275894806e-06,0.6931382029999724
III,160,0.10841407383821652,0.19450137280870702,0.00942162438990855,1.7766935176813125e-07,0.6874951658517388
I,136,0.1075710097231567,0.19259349244604995,0.01390660508596785,2.975803316435073e-05,0.6930256022329275
IV,119,0.0553942324102227,0.132006879309637,0.0036732518454019,7.195081524264112e-06,0.6194537279154524
VI,109,0.00914685492956124,0.035468486011953425,0.0005902170999571,2.4956215819448476e-07,0.2675685078539041
V,114,0.006596970401829495,0.02451356981833961,0.0003757614554299,8.618520663482189e-06,0.2168826416863739
