model,head1_orig_mean,head1_black_mean,head1_diff_mean,head2_orig_mean,head2_black_mean,head2_diff_mean,h1_acc_orig,h2_acc_orig,h1_acc_black,h2_acc_black,h1_acc_diff,h2_acc_diff
ensemble,0.503614609631952,0.3896727474668308,-0.11394186216512127,0.4753752528289532,0.5507448082491039,0.07536955542015067,0.8125,0.75,0.5,0.5625,-0.3125,-0.1875
dropout,0.22383247084383937,0.12661460294839924,-0.09721786789544014,0.23397231884092362,0.13494434729859955,-0.09902797154232404,0.5625,0.6875,0.625,0.625,0.0625,-0.0625
dropconnect,0.2827620545658547,0.12436477809301512,-0.15839727647283958,0.2864107165023975,0.1326181984186543,-0.1537925180837432,0.6875,0.625,0.6875,0.5625,0.0,-0.0625
flipout,0.5902885372567275,0.45493186393922547,-0.135356673317502,0.804854420350467,0.7056756812952605,-0.09917873905520652,0.625,0.6875,0.5625,0.75,-0.0625,0.0625
duq,0.4083080403306223,0.2343030458910185,-0.17400499443960377,0.4624919196964842,0.4105141409949251,-0.05197777870155908,0.75,0.6875,0.4375,0.4375,-0.3125,-0.25
