model,head1_orig_mean,head1_black_mean,head1_diff_mean,head2_orig_mean,head2_black_mean,head2_diff_mean,h1_acc_orig,h2_acc_orig,h1_acc_black,h2_acc_black,h1_acc_diff,h2_acc_diff
ensemble,0.503614609631952,0.4292913551853887,-0.07432325444656333,0.4753752528289532,0.5434442128791694,0.06806896005021619,0.8125,0.75,0.625,0.6875,-0.1875,-0.0625
dropout,0.22383247084383937,0.15793626064264132,-0.06589621020119804,0.23397231884092362,0.18877662512656657,-0.04519569371435704,0.5625,0.6875,0.5625,0.5625,0.0,-0.125
dropconnect,0.2827620545658547,0.06337372688445247,-0.21938832768140223,0.2864107165023975,0.09825425140791667,-0.18815646509448083,0.6875,0.625,0.6875,0.6875,0.0,0.0625
flipout,0.5902885372567275,0.4716091354162285,-0.11867940184049902,0.804854420350467,0.6991881709603958,-0.10566624939007123,0.625,0.6875,0.6875,0.6875,0.0625,0.0
duq,0.4083080403306223,0.31614600054273156,-0.09216203978789075,0.4624919196964842,0.41030274830968133,-0.05218917138680285,0.75,0.6875,0.6875,0.75,-0.0625,0.0625
