category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
5.0,22,0.4511371378555195,0.20298872707468557,0.4682776308363328,0.0316095679028587,0.6931235654082833
20.0,74,0.42316515213660344,0.22285608806695859,0.47325492235364697,0.0062142608729558,0.6930996927475537
0.0,6,0.4146259046034901,0.18619861440964955,0.3720551454330893,0.1967867376740295,0.6622167749941024
25.0,102,0.37966876396425964,0.22063150372193158,0.3950873273088721,0.0005884687878225,0.6931071214573119
30.0,211,0.36636893458882963,0.25227234289326256,0.3985103864750473,0.0006349066136969,0.6930779128138826
35.0,256,0.35115737641501,0.2501024376758365,0.38075896436279155,0.0009794212717301,0.6930354249500252
70.0,459,0.344370321717803,0.2430692440689818,0.308469500193033,0.0006169705162572,0.6931471774610684
80.0,271,0.3410002848672767,0.22871328929217685,0.3248110578106981,0.0003752234019224,0.6930452604884582
65.0,454,0.3340669692315642,0.25180927970996836,0.31338130776941014,0.0004999609794798,0.6931471772083562
85.0,238,0.3223618970482785,0.20760615637972232,0.2992181198250944,0.000650888654549,0.6930606564437001
60.0,447,0.3146783342747315,0.25881230104195774,0.2942937502221155,0.0007667379357676,0.6931454802795636
75.0,341,0.3114215080454595,0.23637747577711793,0.2661983205167293,0.0003017394119205,0.6931422136731953
45.0,403,0.3002672576840483,0.2533165524155058,0.2660126849724402,0.0013054201630898,0.6930887185730589
55.0,396,0.29294627374982296,0.24723596877495174,0.23661548631577878,0.0002969104979758,0.6931445432560748
50.0,452,0.2879942811226721,0.2507772477409992,0.24550949661029936,0.0002424928996,0.6931458790257823
40.0,382,0.27557586117083954,0.25309889628500576,0.21246427679709168,0.0004870442703301,0.6931395808729057
10.0,121,0.06382250195121078,0.16994503333017744,0.0009872933453523,6.177059751645015e-06,0.6931444580066486
15.0,474,0.03966496197138034,0.12610711104745267,0.00093039085440065,2.4695109899765275e-06,0.6928453305789194
