category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
head/neck,778,0.824213429741362,0.375233972592975,0.8435454249186682,5.428457335694239e-05,1.6011588814530393
lateral torso,23,0.6384757265172669,0.3972660739901915,0.6856319983731916,9.55535456377627e-05,1.4106136612202955
posterior torso,544,0.6204333286390921,0.4357163789745455,0.6888459701009317,1.5738924914998825e-11,1.595742704334576
upper extremity,693,0.5815410656173404,0.42432689702829374,0.6086263358790615,1.0107451422789057e-08,1.5411320135903512
lower extremity,994,0.5632820942227601,0.4140555002520046,0.5877913311773152,7.742343804166991e-09,1.5899515866833454
anterior torso,876,0.5629475340504323,0.3811841586630841,0.5913466555198752,1.1611875723773733e-07,1.5847027312092707
oral/genital,11,0.5589876947540231,0.525013513509782,0.7066497559910322,0.0002275885381911,1.3928916855749391
palms/soles,97,0.5025325112449401,0.38163615176795057,0.5191716604061493,0.0001167660322336,1.5694118995016706
