category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
Other,38,0.33122669241026487,0.23267805726611046,0.28773356070261763,0.0003432111832158,0.6927910458052057
Melanoma,684,0.29049873879546595,0.24933387260694326,0.2437940773802364,4.663012406998892e-05,0.6931424429914046
Malignant_Epidermal,251,0.22862412997307135,0.22171107736138612,0.1354905602432147,5.762461713841739e-05,0.6928353814176393
Malignant_NonEpidermal,835,0.1525659748202897,0.1942212100396495,0.067464200073997,7.738011915495392e-05,0.6931467264091857
Benign,4112,0.13346289743415585,0.2164047523991237,0.00549877954391405,7.653147464159584e-12,0.6931452259236741
