method,head,coverage,error_rate
dropconnect,head1,1.0,0.07314189189189191
dropconnect,head1,0.9951013513513514,0.07095569512816158
dropconnect,head1,0.9900337837837838,0.06910083603480632
dropconnect,head1,0.9849662162162162,0.0667123992454125
dropconnect,head1,0.9800675675675675,0.06583936573595317
dropconnect,head1,0.975,0.06358281358281359
dropconnect,head1,0.9699324324324324,0.0614768373389063
dropconnect,head1,0.9648648648648649,0.058648459383753515
dropconnect,head1,0.9599662162162163,0.05683617807496044
dropconnect,head1,0.9548986486486486,0.0557226251547851
dropconnect,head1,0.949831081081081,0.053530144051218254
dropconnect,head1,0.9447635135135135,0.052565707133917394
dropconnect,head1,0.9398648648648649,0.05176132278936019
dropconnect,head1,0.9347972972972973,0.04951210697506325
dropconnect,head1,0.9297297297297298,0.048328488372093026
dropconnect,head1,0.9246621621621621,0.0467665327000365
dropconnect,head1,0.9197635135135135,0.04536271808999082
dropconnect,head1,0.9146959459459459,0.043028624192059106
dropconnect,head1,0.9096283783783784,0.04159702878365834
dropconnect,head1,0.9045608108108109,0.04014939309056953
dropconnect,head1,0.8996621621621622,0.038678182500938796
dropconnect,head1,0.8945945945945946,0.037953172205438035
dropconnect,head1,0.889527027027027,0.03646031143182682
dropconnect,head1,0.8844594594594595,0.035332314744079496
dropconnect,head1,0.8795608108108108,0.03380065296715962
dropconnect,head1,0.8744932432432433,0.033030712768012394
dropconnect,head1,0.8694256756756756,0.03186322129395769
dropconnect,head1,0.8643581081081081,0.030682040257963616
dropconnect,head1,0.8594594594594595,0.02948113207547165
dropconnect,head1,0.8543918918918919,0.028865164096480878
dropconnect,head1,0.8493243243243244,0.028241845664280008
dropconnect,head1,0.8442567567567567,0.02681072428971587
dropconnect,head1,0.8393581081081081,0.026363453411149096
dropconnect,head1,0.8342905405405405,0.025308766956873896
dropconnect,head1,0.829222972972973,0.02403748217559587
dropconnect,head1,0.8241554054054054,0.02316048370567736
dropconnect,head1,0.8192567567567568,0.022886597938144293
dropconnect,head1,0.8141891891891891,0.02240663900414941
dropconnect,head1,0.8091216216216216,0.0215031315240084
dropconnect,head1,0.8040540540540541,0.02121848739495802
dropconnect,head1,0.7991554054054054,0.020503064891143508
dropconnect,head1,0.7940878378378379,0.02042118698149331
dropconnect,head1,0.7890202702702702,0.02033825733247696
dropconnect,head1,0.7841216216216216,0.019603619129685446
dropconnect,head1,0.779054054054054,0.01908065915004331
dropconnect,head1,0.7739864864864865,0.018332605848974226
dropconnect,head1,0.768918918918919,0.017794376098418274
