category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
25.0,102,0.38311433286254565,0.22879982381353436,0.4175905881215173,3.4168094481304624e-09,0.6917036538677563
20.0,74,0.36064195472166405,0.2238349395865532,0.35529900199401243,2.329441470149671e-05,0.6931354762880999
5.0,22,0.35669663697588,0.1991138732055756,0.35663551280167105,0.0004154326733236,0.6923313402878579
80.0,271,0.35438444679549574,0.22550146069434698,0.3357681234591106,1.567868606620793e-10,0.6931244899776925
85.0,238,0.34780501250002405,0.2122239178206085,0.32687199221591723,0.0008054905814027,0.6930918080340055
0.0,6,0.33767017486511713,0.23809756713051872,0.30637264085114424,0.0403508014729468,0.6675312763877285
30.0,211,0.3373646321592578,0.2539169589925544,0.3450716735898362,1.1734043236931366e-08,0.6931456432248825
70.0,459,0.3305587783394682,0.23809843004024053,0.2922245165862064,2.769484557411338e-07,0.6931455930306551
65.0,454,0.3239480757279885,0.2449303465256313,0.27376154186303325,3.703395182452495e-05,0.6931471671106102
60.0,447,0.3223033682094133,0.25309825855863355,0.301433061878767,2.452669712926463e-06,0.6931248835267947
35.0,256,0.3211383851210529,0.25368549340555924,0.3129042023645998,9.610926259999932e-09,0.693113462050514
75.0,341,0.31665561141687243,0.2421144230173736,0.2737250768314422,3.073290992173369e-08,0.6931271996594349
45.0,403,0.2814181459689595,0.2556030959738775,0.2223080917356434,9.228387402382928e-09,0.693128303441884
55.0,396,0.278335994165028,0.24590542474592758,0.23248977330234624,7.447397077008525e-12,0.6931449336738931
50.0,452,0.2739268211656486,0.24692154516240397,0.22176365453922242,5.267997869890421e-07,0.6931166716115956
40.0,382,0.26658395326642437,0.2499301922636984,0.1891940994771296,6.269489242870785e-07,0.692836097394279
10.0,121,0.046382318259974735,0.13709008706640727,4.961176741625179e-05,2.0297262751868572e-10,0.6917557182908118
15.0,474,0.03233178366541248,0.11034521224741117,6.717364990553434e-05,1.0717696351811628e-11,0.6930361473977089
