fitzpatrick_skin_type,Benign,Malignant_Epidermal,Malignant_NonEpidermal,Melanoma,Other
I,70.58823529411765,5.88235294117647,15.441176470588236,7.352941176470589,0.7352941176470588
II,47.05882352941176,11.76470588235294,23.92156862745098,15.686274509803921,1.5686274509803921
III,70.625,6.875000000000001,19.375,2.5,0.625
IV,94.9579831932773,0.8403361344537815,3.361344537815126,0.8403361344537815,0.0
V,97.36842105263158,1.7543859649122806,0.8771929824561403,0.0,0.0
VI,100.0,0.0,0.0,0.0,0.0
