run_type,head,term,SS,df,F,p_value,eta_sq,partial_eta_sq
dropconnect,head1,diagnosis_1,0.014672322070598242,1.0,1.5188486077422003,0.2181577029373389,0.001692207320833101,0.0019044673494472385
dropconnect,head1,diagnosis_2,0.14153564456959603,4.0,3.6628697159532275,0.005765783942341215,0.016323772934309404,0.01807370891908817
dropconnect,head1,diagnosis_confirm_type,0.2325821131092548,2.0,12.038211026924625,7.069347428671632e-06,0.026824462590485227,0.029358754143364824
dropconnect,head1,attribution,0.26348661443411764,3.0,9.091864159068953,6.3739283867378685e-06,0.030388780708435103,0.033130573439126954
dropconnect,head1,image_type,0.0011042541652159263,1.0,0.11431012033144047,0.7353786400660487,0.00012735727674512834,0.00014358505917845226
dropconnect,head1,sex,1.1379093862496038e-07,1.0,1.1779403960231653e-05,0.9972624348305554,1.3123884444405244e-08,1.4798245962207458e-08
dropconnect,head1,anatom_site_general,0.2475031854636684,7.0,3.6601458256325197,0.0006722768787423661,0.028545359102388854,0.03118350204224614
dropconnect,head1,fitzpatrick_skin_type,0.07998501331516258,5.0,1.655976818521714,0.14285209365817067,0.009224935524015009,0.010294779536790187
dropconnect,head1,age_approx,0.0001653394276196849,1.0,0.01711559753369096,0.8959455411225321,1.9069141782339395e-05,2.1501544625511054e-05
dropconnect,head1,Model (total),0.9810346003461712,24.0,8.235022071881177,1.1766505448427897e-25,0.1989054631052719,0.1989054631052719
dropconnect,head2,diagnosis_1,0.048016387519512004,1.0,2.7784908126563903,0.0959315328775443,0.003183928112622459,0.0034784246754436593
dropconnect,head2,diagnosis_2,0.2625233909873829,4.0,3.797759825587864,0.004564725061317198,0.017407715323149758,0.018726833219726152
dropconnect,head2,diagnosis_confirm_type,0.3992010876430039,2.0,11.549979202077605,1.1358296883608475e-05,0.026470703674230503,0.028201635425742964
dropconnect,head2,attribution,0.08723442797862803,3.0,1.682620380298703,0.16924633893499902,0.0057844448942942,0.006301572459985936
dropconnect,head2,image_type,0.0001887166003210898,1.0,0.010920174700248357,0.9167991785863259,1.251364628038059e-05,1.3718624234265166e-05
dropconnect,head2,sex,0.012099952596946302,1.0,0.7001694392467868,0.4029778979256263,0.0008023381438089492,0.000878836814782652
dropconnect,head2,anatom_site_general,0.38449600043097504,7.0,3.1784345181452545,0.0025278687295545435,0.025495621145293527,0.027191039029849033
