category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
5.0,22,0.43673286591718624,0.21322939012120828,0.5077698759915956,0.0231168726449749,0.6899119867217056
25.0,102,0.36408296014320723,0.2242901855821554,0.37372767362627235,0.0003709256752391,0.6926513473609004
20.0,74,0.36054950898411614,0.21121687195243907,0.3973292407080572,7.414573319092338e-05,0.6925439949962963
30.0,211,0.3490668184980435,0.2545004646317927,0.3780912196735399,2.471763753942234e-06,0.6931389698520543
35.0,256,0.34311713743558925,0.24426422529376848,0.3553667321235371,1.913464778821358e-06,0.6930409400462949
70.0,459,0.30270355723716513,0.24160991203462617,0.2481463699912748,7.364494259213427e-05,0.6931438507286399
85.0,238,0.3014592320606601,0.233660924758363,0.2387542779149872,0.0003383408075347,0.6931470413305992
80.0,271,0.29921959447504665,0.22508521167559575,0.2445057591291606,0.0002856450385395,0.6929567108039552
65.0,454,0.2976968957615968,0.24320279318444477,0.2378936808901781,3.306018220536879e-06,0.6930547021980134
45.0,403,0.29555129232860944,0.2601447353326543,0.2294320191631602,8.019211752728893e-06,0.6931342293753225
60.0,447,0.29343045689614106,0.24977933783972311,0.2500680049603078,4.5976908241849715e-06,0.6930762992976507
75.0,341,0.281629478570732,0.24744353407373265,0.1897809119433889,1.5252013766803963e-06,0.6931023518772896
40.0,382,0.2717808268036457,0.26005015045782637,0.1994299378565634,1.6553079149685802e-06,0.6929204035985942
55.0,396,0.2714120235934642,0.24834794989599646,0.19537240010956353,1.6831199225190591e-06,0.6931124889902492
50.0,452,0.2653395582399563,0.24654522555393432,0.18330152358144225,1.8844804009221553e-05,0.6931446564824675
0.0,6,0.19905109173163552,0.263022116131654,0.0799888222624628,0.0195183823673258,0.690058745869089
10.0,121,0.0425526213371092,0.1251050164871949,6.474938242293979e-05,3.56489994195358e-14,0.6116814608670882
15.0,474,0.03613980389512574,0.12408252332443291,5.757299356181118e-05,3.56489994195358e-14,0.6930496741208776
