method,head,aurc
dropconnect,head1,0.013646544238052383
dropconnect,head2,0.019524747695519543
dropout,head1,0.013828067604190888
dropout,head2,0.019760288138840156
duq,head1,0.017228630172828538
duq,head2,0.030544786174601345
ensemble,head1,0.01217352068587002
ensemble,head2,0.021553960353111058
flipout,head1,0.033642955550251645
flipout,head2,0.07505019025087266
