skin_type,n_total,n_benign,n_malignant,accuracy,benign_accuracy,malignant_accuracy,sensitivity,specificity,conf_when_wrong,entropy_benign,entropy_malignant
I,136,97,39,94.85294117647058,97.9381443298969,87.17948717948718,87.17948717948718,97.9381443298969,0.7698780498350971,0.0737709781486959,0.19163775492117469
II,255,124,131,92.94117647058823,95.16129032258065,90.83969465648855,90.83969465648855,95.16129032258065,0.782471076557623,0.16170588898671776,0.21756834966730923
III,160,114,46,97.5,97.36842105263158,97.82608695652173,97.82608695652173,97.36842105263158,0.7091901110485197,0.07961242291560895,0.17979207829859195
IV,119,113,6,98.31932773109243,99.11504424778761,83.33333333333334,83.33333333333334,99.11504424778761,0.7785346170760022,0.04981494397986539,0.1604708311819527
V,114,111,3,100.0,100.0,100.0,100.0,100.0,,0.004922370162822901,0.06855717924507486
VI,109,109,0,100.0,100.0,,,100.0,,0.009146854929561276,
