fitzpatrick_skin_type,Benign,Malignant
I,71.32352941176471,28.676470588235293
II,48.627450980392155,51.37254901960784
III,71.25,28.749999999999996
IV,94.9579831932773,5.042016806722689
V,97.36842105263158,2.631578947368421
VI,100.0,0.0
