category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
75.0,341,0.22065715559453306,0.24182784487592532,0.0955894750491924,3.190279077467354e-08,0.6931005877135552
20.0,74,0.21739333832614724,0.23505892021298647,0.12005078556460311,8.036141668242449e-06,0.6890047423251902
5.0,22,0.21435270679945287,0.22510487910799307,0.14412802928652615,3.698717408738551e-05,0.6721493000334975
85.0,238,0.2122505196884146,0.2275125076499868,0.1137952695878444,7.738011915495392e-05,0.6931467264091857
65.0,454,0.20889539482421,0.2405457414003415,0.09019966241987346,2.999058307889485e-07,0.6931452259236741
70.0,459,0.20885595022193754,0.2408265425360651,0.0880345225902821,4.036945893635766e-07,0.6931424429914046
30.0,211,0.2086816035116908,0.2439747692734252,0.0917768151010844,2.16523434236612e-08,0.6930110159038931
80.0,271,0.20430874970993057,0.22466147429776714,0.0908008618578778,1.0878870576880798e-05,0.6927441645895015
60.0,447,0.19926979535720446,0.24358467303387882,0.0707885391663279,2.2952152588815106e-07,0.6931279495848885
25.0,102,0.1988551216381294,0.2349812276817782,0.06554261878797195,2.3430128075776222e-08,0.6931046985791522
35.0,256,0.18925694110920666,0.2270210857385704,0.0657863569885852,8.099756699329e-08,0.6931209925079997
55.0,396,0.18528702928794352,0.2321314038311321,0.051049121163573,1.0338034242597671e-08,0.6931261088837188
50.0,452,0.18148092026343357,0.23563203959555243,0.03670931514721965,2.934540207992819e-07,0.6930502524457665
45.0,403,0.177786884086972,0.23005363386037664,0.0536313346897905,2.6037477650308486e-09,0.6931382029999724
40.0,382,0.16201239778669965,0.23058221844060925,0.02175262956030275,3.990793875748646e-09,0.6930611333137902
10.0,121,0.02079101842301601,0.08339172804729796,3.5007308212385098e-06,8.002396795373492e-10,0.6581792784659233
0.0,6,0.01660889136537042,0.02220632087695252,0.0085572646232383,5.263953240124108e-07,0.0595696107157602
15.0,474,0.01219516729007031,0.06742121181168151,2.984460149713167e-06,7.653147464159584e-12,0.6892605187568692
