category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
II,255,0.15010628371056095,0.2558679342619876,0.0023490833984961,1.9914371478868437e-13,1.2526737000098076
III,160,0.1078914952036834,0.21969011857616025,2.5171044857825604e-05,1.425959976781428e-13,0.9800376214009398
I,136,0.0961552214233891,0.2195680797154585,7.709211528502663e-05,5.70227909799719e-10,1.010677839988492
IV,119,0.017235461190512832,0.09271770268670441,6.250208454615279e-06,1.425959976781428e-13,0.6554760818975496
V,114,0.007752238598434973,0.0460230031787389,7.187742146679741e-07,1.425959976781428e-13,0.3917833775628818
VI,109,0.007473761033834423,0.07017952616409485,3.649043944271495e-07,1.425959976781428e-13,0.7327633534380589
