category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
University of Queensland,22,0.8583760192301356,0.473533918118762,0.8069758936998277,0.0352423075532333,1.5506594700755227
Royal Prince Alfred Hospital Sydney,54,0.8033124873923451,0.29670299583337456,0.784472082080872,0.11132111233625,1.4438525021356288
University Hospital Basel,22,0.7508907539865487,0.3963156039620851,0.7314435243936461,0.1216998950461774,1.412116670949686
Federal University of Espírito Santo,175,0.7115030949442801,0.36986311033413055,0.7264393905844698,0.0010186401795908,1.5230308296273207
Hospital Clínic Barcelona,1147,0.5915604901470306,0.3520327417546018,0.6307157366085016,0.0002159111070134,1.4514100726062305
International Dermoscopy Society,39,0.5522997645291394,0.3837553099269988,0.4369948610952549,0.0590025800508306,1.5888588873683616
Hospital Italiano Buenos Aires,153,0.513006840877261,0.41479615082578164,0.491369150564991,1.425959976781428e-13,1.4867213210989432
MILK Study,1289,0.5080208563879504,0.4274193168491116,0.468553626565048,5.0299903378935835e-06,1.5445888464990791
Anonymous,1133,0.4109279778828305,0.47279957808842416,0.1298372432516465,1.425959976781428e-13,1.5900319624443449
Memorial Sloan Kettering,736,0.40247676662714477,0.4781356951740309,0.11951084185371975,3.674599137051366e-12,1.5886370435321648
Andreas Syggros Hospital Athens,90,0.3484112948417709,0.32583436342157895,0.23766650144699003,7.872900698996464e-07,1.37091844232605
Imperial College London,720,0.2937979433077246,0.3498016615048947,0.13734320593823374,2.325987169532518e-12,1.4419668890832362
Medical University of Vienna,340,0.18080679991526818,0.24548588323358816,0.07477539174130746,2.945188890327194e-07,1.5801215116240437
