category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
Other,38,0.9230016168081445,0.3227597449218083,0.9193593042175252,0.1622333275600622,1.497769519357358
Malignant_Epidermal,251,0.7462173225495696,0.3706319100482281,0.7607724552898407,0.086143054360947,1.5901436620968066
Malignant_NonEpidermal,835,0.7137072626474764,0.37842965153691166,0.7195554914164799,0.0125052782414396,1.565219448357393
Melanoma,684,0.6958050147609799,0.3645841191723245,0.7087919695073864,0.0053130221108302,1.5640500334501388
Benign,4112,0.4261977381535404,0.4364952323662173,0.27640623870406394,4.894280974099101e-12,1.6011588814530393
