model,isic_id,head1_entropy_original,head1_entropy_black,head1_entropy_diff_black,head2_entropy_original,head2_entropy_black,head2_entropy_diff_black
ensemble,ISIC_1049431,0.46946907417434336,0.29514479716617326,-0.1743242770081701,0.6042875104906682,0.4409171798858094,-0.16337033060485878
ensemble,ISIC_1151359,0.5332546176571692,0.31127220186550086,-0.22198241579166833,0.6377070058727236,0.3990790715687284,-0.23862793430399515
ensemble,ISIC_1727295,0.6676793908551923,0.556871835245324,-0.11080755560986832,0.3866526293656878,0.8892047002193599,0.5025520708536722
ensemble,ISIC_2392633,0.6840634043586807,0.555822742850009,-0.12824066150867175,0.605970885271174,0.6394310866132125,0.03346020134203842
ensemble,ISIC_3097354,0.5355598274890611,0.6681428221539989,0.13258299466493784,0.4519850455736894,1.2780298799007088,0.8260448343270195
ensemble,ISIC_4814164,0.39711352734536887,0.08957179715744398,-0.30754173018792486,0.6145078920197374,0.15050126948871728,-0.46400662253102015
ensemble,ISIC_6586433,0.6118002746888367,0.6107800757052623,-0.0010201989835744163,0.48320993223533154,0.687354818490009,0.20414488625467747
ensemble,ISIC_6945634,0.4505947967793629,0.3307227157909603,-0.11987208098840263,0.6759333990130196,0.4734454230939771,-0.20248797591904255
ensemble,ISIC_6965881,0.5406925499498553,0.6893330238997764,0.14864047394992108,0.32433687767118785,0.6837280757217671,0.35939119805057923
ensemble,ISIC_7418664,0.6819970596372213,0.3816156556241397,-0.30038140401308167,0.6608567257316647,0.6980727676376506,0.03721604190598593
ensemble,ISIC_7576704,0.2764091625413767,0.5764864874538187,0.300077324912442,0.17120890473203457,0.44524644423988985,0.27403753950785525
ensemble,ISIC_8006211,0.610800450362959,0.6304015328468355,0.019601082483876486,0.35887303590192815,0.5430504827031534,0.18417744680122522
ensemble,ISIC_8184620,0.06747731683013684,0.045770514119697125,-0.021706802710439718,0.1350655472797268,0.10584449044557129,-0.029221056834155518
ensemble,ISIC_8546532,0.5755735266738086,0.4309664081413088,-0.14460711853249975,0.7066865764461047,0.6589030311783662,-0.047783545267738425
ensemble,ISIC_8778158,0.6872353280504283,0.030518188754816933,-0.6567171392956114,0.6038832515255796,0.03353715174467498,-0.5703460997809047
ensemble,ISIC_9543045,0.2681134467174313,0.6652408841911535,0.39712743747372214,0.18483882613299327,0.5687615331351145,0.38392270700212117
dropout,ISIC_1049431,1.746523187325957e-05,0.0009262641666440067,0.0009087989347707472,5.223709245465584e-05,0.0014558455678748126,0.0014036084754201568
dropout,ISIC_1151359,0.015948053427955283,0.018111580233010682,0.0021635268050553998,0.049184718271762136,0.021214406962248786,-0.02797031130951335
dropout,ISIC_1727295,0.01403874652172954,0.0040568367109867125,-0.009981909810742828,0.008179639132851312,0.004356034037990269,-0.0038236050948610434
dropout,ISIC_2392633,0.46912476245945145,0.039812196776017286,-0.4293125656834342,0.4992011276937885,0.04050677034865007,-0.4586943573451384
dropout,ISIC_3097354,0.5593801009728614,0.6148022380036495,0.05542213703078813,0.5508675195613405,0.7117792389512315,0.16091171938989102
dropout,ISIC_4814164,0.00014676728944613672,0.0005869940641300285,0.0004402267746838918,0.0025261049950641755,0.0015392038744661248,-0.0009869011205980507
dropout,ISIC_6586433,0.04300243828834217,0.4437589184000067,0.40075648011166454,0.1177697749519824,0.6224479313711858,0.5046781564192034
dropout,ISIC_6945634,0.00642277062182566,0.28494781548100523,0.27852504485917956,0.020786917119546333,0.2655881001122827,0.24480118299273634
dropout,ISIC_6965881,0.008972437347475336,1.1911587586966798e-05,-0.00896052575988837,0.008778505920678638,1.2488877487250536e-05,-0.008766017043191387
dropout,ISIC_7418664,1.9708569024013843e-05,0.010276036795438417,0.010256328226414403,7.404365567085527e-05,0.010731136233920342,0.010657092578249486
dropout,ISIC_7576704,0.6909026388610439,0.2535098222029406,-0.43739281665810326,0.6920191737310905,0.44662432756302317,-0.24539484616806728
dropout,ISIC_8006211,0.562032164522613,0.1466775276236821,-0.4153546368989308,0.5522281010761291,0.042013968890446715,-0.5102141321856823
dropout,ISIC_8184620,0.32420505649355236,0.008759128786025696,-0.31544592770752666,0.31476366186678184,0.027239456721705208,-0.28752420514507665
dropout,ISIC_8546532,0.14238644974058004,0.1691311525300308,0.026744702789450764,0.183431872193969,0.24630059186769804,0.06286871967372903
dropout,ISIC_8778158,0.06306921236658929,1.2140236352723979e-05,-0.06305707213023656,0.05932039986938346,1.2666984835044496e-05,-0.059307732884548416
dropout,ISIC_9543045,0.6816507607870671,0.5315996066847537,-0.1500511541023134,0.6843733043222844,0.5786038336600192,-0.10576947066226516
dropconnect,ISIC_1049431,5.543627392119722e-07,2.5510262726775026e-05,2.4955899987563055e-05,3.0617017667569745e-07,8.105140850704637e-05,8.074523833037067e-05
dropconnect,ISIC_1151359,0.5284312936493156,0.007494977790099472,-0.5209363158592162,0.6606128390627654,0.015927739209783447,-0.644685099852982
dropconnect,ISIC_1727295,0.018984467784259412,0.0003877518747068974,-0.018596715909552516,0.053048111034459416,0.0013460040988012535,-0.05170210693565816
dropconnect,ISIC_2392633,0.5312095362874876,0.00030337000928342344,-0.5309061662782042,0.31683681327924956,0.00022492614130502917,-0.3166118871379445
dropconnect,ISIC_3097354,0.22038671283935118,0.24356462578098909,0.0231779129416379,0.5261976771822173,0.1626409951074443,-0.363556682074773
