skin_type,n_total,accuracy,nonbenign_detection_rate,conf_when_wrong,acc_Benign,acc_Mal_Epidermal,acc_Mal_NonEpidermal,acc_Melanoma,entropy_Benign,entropy_Mal_Epidermal,entropy_Mal_NonEpidermal,entropy_Melanoma
I,136,88.97058823529412,87.5,0.7186768141289591,96.875,50.0,80.95238095238095,60.0,0.09942069036335634,0.3878156784552754,0.36221230953544975,0.5241591222957596
II,255,80.7843137254902,92.5925925925926,0.7504305624494927,89.16666666666667,53.333333333333336,83.60655737704919,75.0,0.24314754928649132,0.48720668313832427,0.32312162582529047,0.4587208800112543
III,160,91.875,97.87234042553192,0.6598549985929363,93.80530973451327,63.63636363636363,96.7741935483871,75.0,0.1557651066459383,0.4201786933986726,0.29745894485482977,0.5452514610003474
IV,119,97.47899159663865,83.33333333333334,0.5871450221267582,99.11504424778761,0.0,75.0,100.0,0.0881527267433705,1.022166576310937,0.3354472407075984,0.0012988473313272143
V,114,98.24561403508771,100.0,0.7286374303937644,100.0,0.0,100.0,,0.01050498146459424,0.5521300250515245,0.43787173857515865,
VI,109,100.0,,,100.0,,,,0.016514561004760397,,,
