model,head1_orig_mean,head1_black_mean,head1_diff_mean,head2_orig_mean,head2_black_mean,head2_diff_mean
ensemble,0.37829591832659476,0.49115080001282896,0.11285488168623423,0.2721951679491548,0.5394423801966395,0.2672472122474846
dropout,0.350759928190347,0.12310544389342812,-0.2276544842969189,0.36342111080099804,0.16896073082879948,-0.19446037997219862
dropconnect,0.23774264706823875,0.055747501382561904,-0.18199514568567682,0.18163079952483743,0.19229280286953282,0.010662003344695376
flipout,0.5677513075422407,0.4513693051783836,-0.11638200236385718,0.8004202218058059,0.6441536973381035,-0.15626652446770234
duq,0.38525126395309534,0.42206025524128143,0.036808991288186085,0.1313481301301,0.2910111556369973,0.15966302550689726
