category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
II,255,0.3275471148367963,0.3337004964582317,0.1930064161299583,1.796271652302551e-05,1.38128310697462
III,160,0.21510733620940461,0.3365480108755721,0.0184619640822929,4.021654658015992e-06,1.3178012937561785
I,136,0.19126002929737349,0.29386077664859367,0.030170868181974148,2.730947945288156e-05,1.4985212012274869
IV,119,0.10358413865379186,0.24064959895380023,0.0060644394484656,9.290934945644448e-06,1.157785425672927
V,114,0.023756006376568304,0.09732118053842824,0.0003299814796385,6.046775498948655e-06,0.7015641764745911
VI,109,0.01651456084037012,0.06478890807199789,0.000701331298659,8.670048010417461e-07,0.4965965546839184
