category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
Other,38,1.0491753013729248,0.24224143969490897,1.0495028810012754,0.4855816345488738,1.5108481756967405
Malignant_NonEpidermal,835,0.7385349194289592,0.36686155374911006,0.7267682004428825,0.0343809165829436,1.5812867186632409
Melanoma,684,0.723559126196782,0.3939126195473426,0.7678217960645288,0.0006306677691224,1.5862089053124202
Malignant_Epidermal,251,0.7209961495238685,0.40002321724401846,0.7435420251092348,0.0045677677624117,1.5531355600760397
Benign,4112,0.5070409823512498,0.4654461024121305,0.40704084115749295,2.489074753189818e-06,1.598004057940345
